[2025-06-10 20:49:16] Mode: PvP, Player_1: 0, Player_2: 0
[2025-06-10 20:49:29] Mode: PvP, Player_1: 0, Player_2: 0
[2025-06-10 20:50:19] Mode: PvC, Player_1: 0, Player_2: 0
[2025-06-10 20:50:21] Mode: PvP, Player_1: 0, Player_2: 0
[2025-06-10 20:50:33] Mode: PvP, Player_1: 7, Player_2: 1
[2025-06-10 21:09:15] Mode: PvP, Player_1: 1, Player_2: 0
[2025-06-10 21:10:06] Mode: PvC, Player_1: 0, Player_2: 0
[2025-06-10 21:10:08] Mode: PvP, Player_1: 1, Player_2: 0
[2025-06-10 21:10:54] Mode: PvP, Player_1: 1, Player_2: 1
[2025-06-10 21:10:59] Mode: PvC, Player_1: 0, Player_2: 3
[2025-06-10 21:18:27] Mode: PvP, Player_1: 0, Player_2: 0
[2025-06-10 21:19:06] Mode: PvC, Player_1: 0, Player_2: 1
[2025-06-10 21:19:09] Mode: PvC, Player_1: 0, Player_2: 1
[2025-06-10 21:19:43] Mode: PvP, Player_1: 3, Player_2: 4
[2025-06-10 21:20:24] Mode: PvP, Player_1: 2, Player_2: 7
[2025-06-10 21:20:44] Mode: PvC, Player_1: 0, Player_2: 1
[2025-06-10 21:21:03] Mode: PvC, Player_1: 0, Player_2: 1
[2025-06-10 21:21:35] Mode: PvP, Player_1: 5, Player_2: 9
